Date,Track,Race Number,Distance,Surface,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,1,8.00,Turf,Exacta,1.00,,12.90,9-3,144157.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,2,8.50,PolyTrack,Daily Double,1.00,,8.50,9-6,71480.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,3,6.00,Dirt,Pick 3,1.00,3,14.70,9-6-1,82134.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,4,5.50,PolyTrack,Pick 3,1.00,3,168.10,6-1-8,27263.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,5,7.50,Turf,Pick 3,1.00,3,242.20,1-8-8,55074.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,6,8.32,PolyTrack,Pick 3,1.00,3,967.40,8-8-3,21840.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,7,7.00,Dirt,Pick 3,1.00,3,189.40,8-3-5,55109.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,8,5.00,Turf,Pick 3,1.00,3,100.10,3-5-1,37316.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,9,5.50,PolyTrack,Pick 3,1.00,3,58.60,5-1-1,30435.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
